time,source,model,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,wet_bulb_temperature_2m,pressure_msl,surface_pressure,visibility,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation_probability,precipitation,rain,showers,snowfall,wind_speed_10m,wind_direction_10m,wind_gusts_10m,uv_index,uv_index_clear_sky,sunshine_duration,is_day,cape,lifted_index,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,relative_humidity_925hPa,relative_humidity_850hPa,relative_humidity_700hPa,relative_humidity_500hPa,relative_humidity_300hPa,cloud_cover_925hPa,cloud_cover_850hPa,cloud_cover_700hPa,cloud_cover_500hPa,cloud_cover_300hPa,geopotential_height_925hPa,geopotential_height_850hPa,geopotential_height_700hPa,geopotential_height_500hPa,geopotential_height_300hPa,timezone,latitude_grid,longitude_grid,elevation_m,generationtime_ms,uv_transmission,uv_attenuation,clearness_index,clearness_index_instant,direct_fraction,diffuse_fraction,direct_fraction_instant,diffuse_fraction_instant,sunshine_fraction,ghi_balance_error,ghi_balance_error_instant,upper_air_rh_max,upper_air_cloud_max,sun_score_0_100,sun_score_evidence_weight,air__pm10,air__pm2_5,air__carbon_monoxide,air__carbon_dioxide,air__nitrogen_dioxide,air__sulphur_dioxide,air__ozone,air__methane,air__aerosol_optical_depth,air__dust,air__uv_index,air__uv_index_clear_sky,air__us_aqi,air__us_aqi_pm2_5,air__us_aqi_pm10,air__us_aqi_ozone,time_utc,sza,solar_elevation_deg,solar_azimuth_deg,clear_ghi,clear_dni,clear_dhi,ghi,dni,dhi,kt,cloud,temp_c,rh,pressure_kpa,aod55,cams_cycle,aod340,aod380,ozone_du,cams_forecast_albedo,albedo,predicted_uva_wm2,predicted_uvb_wm2,tan_calibration_tier,tan_score_absolute_0_100,absolute_tan_intensity_label,local_tan_score_0_100,atmospheric_quality_percentile_0_100,local_tan_label,ensemble_strong_sun_support_0_100,deterministic_agreement_0_100,sun_window_confidence_0_100,tan_forecast_confidence_0_100,uv_input_disagree,humidity_context_pct,wet_bulb_context_f,wind_context_mph,precipitation_context_probability_pct,skin_plane_standard,sun_compass,torso_lift_deg,sun_posture_guidance,outdoor_feasibility_0_100,outdoor_blocked,outdoor_block_reason,outdoor_flags,minimum_tan_temperature_f,overall_components_unblocked_0_100,overall_tan_opportunity_0_100,fitzpatrick_type,fitzpatrick_label,skin_response_note,personal_uv_risk_context
2026-09-22T00:00,deterministic,best_match,65.9,76,58.1,66.7,60.6,1012.7,1002.6,64304.46,0,6,6,0,0,0,0.0,0.0,0.0,0.0,4.3,354,6.3,0.0,0.0,0.0,0,0.0,3.3,0.0,13188.977,475.722,28.1,0.0,0.001,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,55,36,7,2,24,0,0,0,0,2559.055,4911.418,10236.221,18996.062,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,,,,,,,0.0,0.0,0.0,90.0,24.0,0.0,0.6,13.1,11.0,163.0,455.0,23.6,4.3,53.0,1400.0,0.17,1.0,0.0,0.0,59.0,59.0,15.0,36.0,2026-09-22 07:00:00+00:00,143.96353081855682,-53.963530818556826,339.78496191178397,0.0,0.0,0.0,0.0,0.0,0.0,,6,18.833333333333336,76,100.26,0.17,2026-09-22T00:00Z,0.21140324,0.19765928,283.54062,0.16548818,0.16548818,0.0,0.0,nasa_power_ml_plus_cams_spectral,0.0,low,0.0,,poor locally,,,,,False,76,60.6,4.3,0,horizontal environmental reference,NNW,,sun below horizon — no direct-sun posture,93.6,False,,cold,50.0,0.0,0.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T01:00,deterministic,best_match,65.6,73,56.7,65.7,59.7,1012.8,1002.7,68897.64,0,12,12,0,0,0,0.0,0.0,0.0,0.0,4.9,16,5.4,0.0,0.0,0.0,0,0.0,4.0,0.0,13385.827,1181.102,26.6,0.0,0.001,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,53,33,9,2,27,0,0,0,0,2559.055,4908.137,10232.939,18992.784,31263.228,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,,,,,,,0.0,0.0,0.0,91.0,27.0,0.0,0.6,14.1,11.9,170.0,458.0,26.3,4.4,51.0,1414.0,0.18,1.0,0.0,0.0,59.0,59.0,15.0,33.0,2026-09-22 08:00:00+00:00,145.56336944119974,-55.56336944119973,5.796235733576168,0.0,0.0,0.0,0.0,0.0,0.0,,12,18.666666666666664,73,100.27000000000001,0.18,2026-09-22T00:00Z,0.2296224,0.21440208,283.95078,0.16548818,0.16548818,0.0,0.0,nasa_power_ml_plus_cams_spectral,0.0,low,0.0,,poor locally,,,,,False,73,59.7,4.9,0,horizontal environmental reference,N,,sun below horizon — no direct-sun posture,92.7,False,,cold,50.0,0.0,0.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T02:00,deterministic,best_match,65.3,69,54.9,65.4,58.6,1012.6,1002.5,76115.488,0,15,15,0,0,0,0.0,0.0,0.0,0.0,3.5,27,3.6,0.0,0.0,0.0,0,0.0,4.8,0.0,13648.294,2050.525,25.3,0.0,0.001,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,52,31,9,4,27,0,0,0,0,2555.775,4901.575,10229.659,18996.062,31279.106,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,,,,,,,0.0,0.0,0.0,91.0,27.0,0.0,0.6,15.6,13.3,180.0,463.0,30.3,4.4,46.0,1435.0,0.19,1.0,0.0,0.0,59.0,59.0,15.0,31.0,2026-09-22 09:00:00+00:00,141.67072918934983,-51.67072918934983,30.376301795961012,0.0,0.0,0.0,0.0,0.0,0.0,,15,18.5,69,100.25,0.19,2026-09-22T00:00Z,0.22923936,0.21319197,284.4622,0.16548818,0.16548818,0.0,0.0,nasa_power_ml_plus_cams_spectral,0.0,low,0.0,,poor locally,,,,,False,69,58.6,3.5,0,horizontal environmental reference,NNE,,sun below horizon — no direct-sun posture,91.8,False,,cold,50.0,0.0,0.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T03:00,deterministic,best_match,64.9,68,54.1,65.0,58.0,1012.6,1002.5,77755.904,2,52,52,0,0,0,0.0,0.0,0.0,0.0,2.7,55,2.9,0.0,0.0,0.0,0,0.0,4.4,0.0,13484.252,2099.738,24.4,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,57,23,9,4,27,0,0,0,0,2555.775,4901.575,10219.816,18979.658,31247.354,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,,,,,,,0.0,0.0,0.0,91.0,27.0,0.0,0.6,18.8,16.4,197.0,473.0,37.1,4.3,37.0,1466.0,0.21,1.0,0.0,0.0,58.0,58.0,15.0,28.0,2026-09-22 10:00:00+00:00,133.67148767022243,-43.67148767022243,49.34434787004977,0.0,0.0,0.0,0.0,0.0,0.0,,52,18.277777777777782,68,100.25,0.21,2026-09-22T00:00Z,0.23951048,0.22249472,285.66638,0.16548818,0.16548818,0.0,0.0,nasa_power_ml_plus_cams_spectral,0.0,low,0.0,,poor locally,,,,,False,68,58.0,2.7,0,horizontal environmental reference,NE,,sun below horizon — no direct-sun posture,90.5,False,,cold,50.0,0.0,0.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T04:00,deterministic,best_match,64.4,68,53.6,64.2,57.5,1012.6,1002.4,78083.992,2,64,64,0,0,0,0.0,0.0,0.0,0.0,3.0,42,3.1,0.0,0.0,0.0,0,0.0,5.0,0.0,13582.678,1935.696,24.2,0.0,0.001,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,54,22,9,6,36,0,0,0,0,2552.494,4898.294,10219.816,18982.94,31236.772,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,,,,,,,0.0,0.0,0.0,93.0,36.0,0.0,0.6,21.7,19.3,218.0,485.0,45.1,4.1,27.0,1505.0,0.23,1.0,0.0,0.0,58.0,58.0,15.0,26.0,2026-09-22 11:00:00+00:00,123.32278651811232,-33.32278651811232,63.292635372661266,0.0,0.0,0.0,0.0,0.0,0.0,,64,18.000000000000004,68,100.24,0.23,2026-09-22T00:00Z,0.25335607,0.2347031,286.96225,0.16544467,0.16544467,0.0,0.0,nasa_power_ml_plus_cams_spectral,0.0,low,0.0,,poor locally,,,,,False,68,57.5,3.0,0,horizontal environmental reference,ENE,,sun below horizon — no direct-sun posture,89.0,False,,cold,50.0,0.0,0.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T05:00,deterministic,best_match,63.5,69,53.2,63.3,56.9,1012.4,1002.2,76115.488,1,34,34,0,0,0,0.0,0.0,0.0,0.0,2.8,45,2.7,0.0,0.0,0.0,0,0.0,5.2,0.0,13648.294,1788.058,23.8,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,52,23,10,6,41,0,0,0,0,2545.932,4888.452,10209.974,18976.378,31205.02,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,,,,,,,0.0,0.0,0.0,94.0,41.0,0.0,0.6,24.8,22.2,238.0,494.0,51.1,4.0,19.0,1548.0,0.24,1.0,0.0,0.0,58.0,58.0,15.0,23.0,2026-09-22 12:00:00+00:00,111.75211853515842,-21.75211853515842,74.10068172728927,0.0,0.0,0.0,0.0,0.0,0.0,,34,17.5,69,100.22,0.24,2026-09-22T00:00Z,0.269197,0.24915299,287.14172,0.16527045,0.16527045,0.0,0.0,nasa_power_ml_plus_cams_spectral,0.0,low,0.0,,poor locally,,,,,False,69,56.9,2.8,0,horizontal environmental reference,ENE,,sun below horizon — no direct-sun posture,86.2,False,,cold,50.0,0.0,0.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T06:00,deterministic,best_match,63.6,68,52.9,62.7,56.8,1012.7,1002.5,78412.072,1,43,43,0,0,0,0.0,0.0,0.0,0.0,4.3,9,4.3,0.0,0.0,0.0,0,0.0,5.9,0.0,13779.527,1509.186,23.8,0.0,0.001,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,49,26,7,4,52,0,0,0,0,2552.494,4898.294,10226.378,18999.344,31210.312,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,,,,,,,0.0,0.0,0.0,96.0,52.0,0.0,0.6,28.0,25.5,261.0,501.0,54.9,4.1,13.0,1613.0,0.25,1.0,0.0,0.0,58.0,58.0,15.0,20.0,2026-09-22 13:00:00+00:00,99.58032306084247,-9.580323060842474,83.23327266466265,0.0,0.0,0.0,0.0,0.0,0.0,,43,17.555555555555557,68,100.25,0.25,2026-09-22T00:00Z,0.27243948,0.25221103,286.79352,0.1650238,0.1650238,0.0,0.0,nasa_power_ml_plus_cams_spectral,0.0,low,0.0,0.0,poor locally,,,,,False,68,56.8,4.3,0,horizontal environmental reference,E,,sun below horizon — no direct-sun posture,86.6,False,,cold,50.0,0.0,0.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T07:00,deterministic,best_match,63.1,71,53.5,62.7,56.9,1013.0,1002.8,72834.648,3,100,100,0,0,0,0.0,0.0,0.0,0.0,3.5,40,3.8,0.0,0.0,0.0,1,0.0,5.2,0.0,14009.187,1870.079,22.6,0.0,0.001,0.57,1.5,0.8,0.8,14.3,7.6,13.2,6.6,6.6,126.1,66.9,96,39,28,4,4,52,0,0,0,0,2562.336,4911.418,10239.501,19019.03,31226.19,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,,,0.19736842105263158,0.1973094170403587,0.5333333333333333,0.5333333333333333,0.5,0.5,0.0,-0.10000000000000009,0.0,96.0,52.0,8.8,0.85,31.7,29.3,282.0,506.0,56.6,4.3,8.0,1683.0,0.25,1.0,0.05,0.05,59.0,59.0,15.0,18.0,2026-09-22 14:00:00+00:00,86.94713868402735,3.0528613159726543,91.71092572634097,5.598388906965185,18.00461171220628,4.639512377610569,1.5,14.3,0.8,0.19736842105263158,100,17.27777777777778,71,100.28,0.25,2026-09-22T00:00Z,0.27963674,0.25930116,286.06738,0.16482037,0.16482037,0.722,0.0022,nasa_power_ml_plus_cams_spectral,0.4,low,1.0,7.0,poor locally,30.4,63.9,42.1,42.1,False,71,56.9,3.5,0,horizontal environmental reference,E,86.9,"sun low 3° (E) — face E, lift torso ~87° toward the sun if comfortable",85.0,False,,cold,50.0,1.2,1.0,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T08:00,deterministic,best_match,67.8,72,58.4,69.3,61.5,1013.6,1003.5,69553.808,3,83,83,0,0,0,0.0,0.0,0.0,0.0,3.0,48,4.9,0.45,0.55,407.31,1,0.0,4.8,4.0,13549.869,2411.417,24.5,0.0,0.002,0.65,62.8,11.5,51.3,73.6,212.3,105.1,19.3,85.8,123.2,355.4,98,46,34,6,6,66,0,0,0,0,2575.459,4917.979,10249.344,19022.31,31231.478,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,0.8181818181818181,0.18181818181818188,0.29580781912388127,0.29572312886888014,0.18312101910828027,0.8168789808917197,0.18363463368220745,0.8163653663177926,0.11314166666666667,0.0,0.0,98.0,66.0,21.9,1.0,33.8,31.4,283.0,503.0,53.7,4.6,12.0,1705.0,0.25,1.0,0.6,0.6,60.0,60.0,16.0,15.0,2026-09-22 15:00:00+00:00,74.7760879929913,15.223912007008702,100.36380649233996,169.1004653355443,397.83764978970135,64.63152141588053,62.8,73.6,51.3,0.29580781912388127,83,19.88888888888889,72,100.35,0.25,2026-09-22T00:00Z,0.29781148,0.27683035,285.53207,0.16470462,0.16470462,4.574,0.0368,nasa_power_ml_plus_cams_spectral,4.1,low,16.4,35.9,poor locally,37.1,52.7,42.6,42.6,False,72,61.5,3.0,0,horizontal environmental reference,E,74.8,"sun low 15° (E) — face E, lift torso ~75° toward the sun if comfortable",99.4,False,,cold,50.0,8.9,8.8,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T09:00,deterministic,best_match,71.1,66,59.2,74.1,63.2,1013.5,1003.5,79396.328,3,92,92,0,0,0,0.0,0.0,0.0,0.0,0.2,180,3.6,1.5,1.85,3600.0,1,0.0,4.1,2.0,13385.827,2690.289,25.6,0.0,0.005,0.88,194.5,86.5,108.0,239.6,490.3,245.9,109.3,136.5,302.9,619.8,98,43,36,9,8,66,0,0,0,0,2572.179,4921.26,10259.187,19032.152,31242.064,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,0.8108108108108107,0.18918918918918926,0.3966959004691005,0.3967408841561795,0.44473007712082263,0.5552699228791774,0.44448962993086616,0.555103700691338,1.0,0.0,0.09999999999999432,98.0,66.0,44.3,1.0,23.6,20.3,247.0,488.0,42.7,5.3,29.0,1636.0,0.24,2.0,1.8,1.9,61.0,61.0,16.0,12.0,2026-09-22 16:00:00+00:00,62.82334108626502,27.176658913734986,110.07646049805459,379.62475722005945,615.136786250111,98.66991282386482,194.5,239.6,108.0,0.3966959004691005,92,21.72222222222222,66,100.35,0.24,2026-09-22T00:00Z,0.320148,0.29830575,284.9136,0.16474885,0.16474885,11.855,0.2013,nasa_power_ml_plus_cams_spectral,11.9,low,29.3,18.3,below typical locally,41.0,55.4,46.0,46.0,False,66,63.2,0.2,0,horizontal environmental reference,ESE,62.8,"sun low 27° (ESE) — face ESE, lift torso ~63° toward the sun if comfortable",100.0,False,,,50.0,17.4,17.4,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T10:00,deterministic,best_match,71.2,68,60.1,74.0,63.8,1013.2,1003.2,75131.232,3,80,80,0,0,0,0.0,0.0,0.0,0.0,1.4,198,5.6,2.95,3.5,1900.12,1,0.0,3.4,0.0,13353.019,2575.459,25.9,0.0,0.007,0.83,274.0,66.8,207.3,123.3,735.1,313.9,76.5,237.4,141.3,842.1,92,41,38,7,18,32,0,0,0,0,2568.898,4927.822,10265.748,19041.994,31247.354,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,0.8428571428571429,0.15714285714285714,0.37273840293837573,0.37275857974112336,0.2437956204379562,0.7565693430656935,0.24370818732080282,0.7562918126791973,0.5278111111111111,-0.10000000000002274,0.0,92.0,32.0,41.6,1.0,22.2,17.5,190.0,465.0,27.0,6.1,54.0,1518.0,0.23,4.0,3.55,3.85,61.0,61.0,16.0,11.0,2026-09-22 17:00:00+00:00,51.67276483081179,38.32723516918821,122.04389923009722,565.3848121443821,720.3597624602896,118.65226472828022,274.0,123.3,207.3,0.37273840293837573,80,21.77777777777778,68,100.32000000000001,0.23,2026-09-22T00:00Z,0.3623255,0.33811763,284.6304,0.16474885,0.16474885,19.089,0.4184,nasa_power_ml_plus_cams_spectral,20.9,low-moderate,40.6,5.1,below typical locally,59.1,42.8,53.4,53.4,False,68,63.8,1.4,0,horizontal environmental reference,ESE,51.7,"sun 38° up (ESE) — lay flat, or lift torso ~52° toward ESE to face it",100.0,False,,,50.0,23.1,23.1,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T11:00,deterministic,best_match,72.7,68,61.6,74.0,65.2,1012.1,1002.1,74146.984,1,32,32,0,0,0,0.0,0.0,0.0,0.0,6.4,234,6.5,5.1,5.1,3600.0,1,0.0,2.8,0.0,13943.569,2165.354,24.4,0.0,0.012,0.88,467.8,226.8,241.0,331.2,929.8,506.6,245.6,261.0,358.8,1007.1,83,34,39,7,26,0,0,0,0,0,2542.651,4911.418,10249.344,19038.714,31242.064,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,1.0,0.0,0.503118950311895,0.5030284976665674,0.4848225737494656,0.5151774262505344,0.4848006316620608,0.5151993683379392,1.0,0.0,0.0,83.0,0.0,71.9,1.0,23.2,17.3,146.0,448.0,14.7,6.5,76.0,1426.0,0.21,5.0,5.55,5.85,62.0,62.0,16.0,12.0,2026-09-22 18:00:00+00:00,42.14230456170297,47.85769543829703,137.99280357579113,705.3186255491177,774.5331048657762,131.01733357802186,467.8,331.2,241.0,0.503118950311895,32,22.611111111111114,68,100.21000000000001,0.21,2026-09-22T00:00Z,0.38914627,0.36387864,284.97583,0.16474885,0.16474885,29.947,0.7842,nasa_power_ml_plus_cams_spectral,34.3,low-moderate,58.8,8.5,typical-to-good locally,80.7,58.7,73.0,73.0,False,68,65.2,6.4,0,horizontal environmental reference,SE,42.1,"sun 48° up (SE) — lay flat, or lift torso ~42° toward SE to face it",100.0,False,,,50.0,36.2,36.2,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T12:00,deterministic,best_match,72.8,71,62.9,75.0,66.0,1012.3,1002.3,68897.64,0,15,15,0,0,0,0.0,0.0,0.0,0.0,9.2,247,10.1,6.3,6.3,3600.0,1,0.0,2.6,0.0,14304.462,1738.845,24.6,0.0,0.017,0.8,710.0,493.8,216.3,631.9,1061.3,738.3,513.4,224.9,657.1,1103.5,75,33,40,7,26,0,0,0,0,0,2555.775,4931.103,10272.31,19064.96,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,1.0,0.0,0.6689908602657119,0.669053013140009,0.6954929577464789,0.30464788732394366,0.6953812813219559,0.3046187186780442,1.0,-0.10000000000002274,0.0,75.0,0.0,89.5,1.0,23.6,17.3,128.0,441.0,9.2,6.0,92.0,1389.0,0.2,5.0,7.15,7.2,62.0,62.0,17.0,14.0,2026-09-22 19:00:00+00:00,35.670402356403514,54.329597643596486,159.6810964928261,787.5625448327621,800.0333089598781,137.62759545478286,710.0,631.9,216.3,0.6689908602657119,15,22.666666666666668,71,100.22999999999999,0.2,2026-09-22T00:00Z,0.4023784,0.37655866,285.19232,0.16469032,0.16469032,43.16,1.2294,nasa_power_ml_plus_cams_spectral,46.0,moderate,77.7,23.6,good locally,98.1,36.7,76.6,76.6,False,71,66.0,9.2,0,horizontal environmental reference,SSE,35.7,"sun 54° up (SSE) — lay flat, or lift torso ~36° toward SSE to face it",100.0,False,,,50.0,50.3,50.3,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T13:00,deterministic,best_match,72.5,74,63.8,75.2,66.5,1011.7,1001.7,62664.044,0,8,8,0,0,0,0.0,0.0,0.0,0.0,11.1,260,12.5,6.85,6.85,3600.0,1,0.0,2.4,0.0,14370.079,1591.207,24.5,0.0,0.018,0.71,811.8,630.3,181.5,764.0,1120.5,814.9,632.7,182.2,767.0,1124.8,70,32,41,7,24,0,0,0,0,0,2542.651,4924.541,10265.748,19064.96,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,1.0,0.0,0.7244979919678715,0.7244843527738265,0.7764227642276422,0.22357723577235775,0.7764142839612224,0.22358571603877775,1.0,0.0,-1.1368683772161603e-13,70.0,0.0,94.3,1.0,23.0,16.6,122.0,439.0,7.0,5.1,104.0,1378.0,0.19,5.0,7.35,7.35,62.0,62.0,17.0,18.0,2026-09-22 20:00:00+00:00,34.106007680900234,55.893992319099766,185.9235016119261,805.712049927763,805.1633854063949,139.03552288631886,811.8,764.0,181.5,0.7244979919678715,8,22.5,74,100.17,0.19,2026-09-22T00:00Z,0.4448489,0.41688374,285.4354,0.1647771,0.1647771,48.764,1.3922,nasa_power_ml_plus_cams_spectral,51.1,strong,86.3,44.1,good locally,99.7,53.0,83.4,83.4,False,74,66.5,11.1,0,horizontal environmental reference,S,34.1,"sun 56° up (S) — lay flat on back, face up",100.0,False,,,50.0,58.6,58.6,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T14:00,deterministic,best_match,72.2,76,64.2,73.7,66.6,1010.8,1000.8,59383.204,0,6,6,0,0,0,0.0,0.0,0.0,0.0,13.8,263,16.1,6.45,6.65,3600.0,1,0.0,2.1,0.0,14534.121,1541.995,24.5,0.0,0.017,0.65,806.5,643.5,163.0,792.2,1103.3,781.7,623.7,158.0,767.9,1069.5,65,34,41,7,20,0,0,0,0,0,2516.404,4904.856,10249.344,19051.838,31257.936,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,0.9699248120300752,0.03007518796992481,0.7309888516269374,0.7309022907900888,0.7978921264724117,0.20210787352758836,0.7978764231802482,0.20212357681975182,1.0,0.0,0.0,65.0,0.0,94.4,1.0,20.4,14.7,120.0,438.0,5.8,4.2,111.0,1374.0,0.17,5.0,6.3,6.3,62.0,62.0,17.0,22.0,2026-09-22 21:00:00+00:00,38.070566950866315,51.929433049133685,210.6414400295914,758.3785788389338,791.4257636144149,135.3271493130428,806.5,792.2,163.0,0.7309888516269374,6,22.333333333333336,76,100.08,0.17,2026-09-22T00:00Z,0.44363233,0.4155523,285.74677,0.16496527,0.16496527,47.358,1.277,nasa_power_ml_plus_cams_spectral,49.0,moderate,82.8,55.7,good locally,99.6,73.4,90.4,90.4,False,76,66.6,13.8,0,horizontal environmental reference,SSW,38.1,"sun 52° up (SSW) — lay flat, or lift torso ~38° toward SSW to face it",100.0,False,,,50.0,58.9,58.9,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T15:00,deterministic,best_match,71.6,78,64.4,72.7,66.6,1010.6,1000.6,57086.612,0,3,3,0,0,0,0.0,0.0,0.0,0.0,13.7,265,16.8,5.6,5.8,3600.0,1,0.0,1.9,0.0,14566.93,1410.761,25.1,0.0,0.015,0.58,732.3,578.0,154.3,776.6,1011.0,681.7,538.1,143.6,723.0,941.3,60,34,39,7,10,0,0,0,0,0,2513.123,4908.137,10255.905,19061.68,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,0.9655172413793103,0.034482758620689724,0.7243323442136498,0.724211197280357,0.7892940051891302,0.21070599481086988,0.789350154026698,0.21064984597330202,1.0,0.0,0.0,60.0,0.0,91.2,1.0,17.7,12.5,120.0,438.0,4.6,3.4,112.0,1374.0,0.16,5.0,4.4,4.4,62.0,62.0,17.0,28.0,2026-09-22 22:00:00+00:00,46.13891166850611,43.86108833149389,229.6204761180379,649.1619827561732,754.6582828205164,126.24996446153159,732.3,776.6,154.3,0.7243323442136498,3,21.999999999999996,78,100.06,0.16,2026-09-22T00:00Z,0.48362693,0.45361197,286.16437,0.16519797,0.16519797,41.35,0.9883,nasa_power_ml_plus_cams_spectral,42.7,moderate,72.1,63.3,typical-to-good locally,70.8,72.8,71.5,71.5,False,78,66.6,13.7,0,horizontal environmental reference,SW,46.1,"sun 44° up (SW) — lay flat, or lift torso ~46° toward SW to face it",100.0,False,,,50.0,51.9,51.9,,not specified,Environmental scores are skin-type independent.,not personalized
2026-09-22T16:00,deterministic,best_match,71.1,79,64.3,70.1,66.3,1009.9,999.9,55118.108,0,6,6,0,0,0,0.0,0.0,0.0,0.0,15.7,267,20.1,4.35,4.45,3600.0,1,0.0,1.8,0.0,14632.546,1312.336,25.2,0.0,0.013,0.55,600.8,474.8,126.0,758.8,849.8,529.4,418.4,111.0,668.7,748.9,55,33,39,7,8,0,0,0,0,0,2496.719,4895.013,10249.344,19061.68,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,53.86662483215332,0.9775280898876403,0.022471910112359716,0.706989879971758,0.7069034584056616,0.7902796271637818,0.2097203728362184,0.7903286739705326,0.20967132602946734,1.0,0.0,0.0,55.0,0.0,83.3,1.0,16.2,11.1,124.0,439.0,4.3,2.6,107.0,1382.0,0.15,5.0,2.4,2.4,62.0,62.0,17.0,34.0,2026-09-22 23:00:00+00:00,56.534592192945205,33.465407807054795,243.53201856391973,486.770759098311,681.7352060294188,110.8391773583703,600.8,758.8,126.0,0.706989879971758,6,21.72222222222222,79,99.99,0.15,2026-09-22T00:00Z,0.45384672,0.42528585,286.14297,0.1654014,0.1654014,32.213,0.594,nasa_power_ml_plus_cams_spectral,33.2,low-moderate,57.4,87.4,typical-to-good locally,52.6,79.2,61.9,61.9,False,79,66.3,15.7,0,horizontal environmental reference,WSW,56.5,"sun 33° up (WSW) — lay flat, or lift torso ~56° toward WSW to face it",100.0,False,,,50.0,43.6,43.6,,not specified,Environmental scores are skin-type independent.,not personalized
